Tag ID#1,Tag ID#2,Date Tagged,R1Date,R2Date,R3Date,dal1,dal2,dal3,R1Tag,R2Tag,R3Tag,TagSite,Site Recap1,Site Recap2,Site Recap3,Site Recap4,Inside/Outside Tagged,Inside/Outside Recap1,Inside/Outside Recap2,Inside/Outside Recap3,Inside/Outside Recap4,Fin Clip ID tagging,Species,SL (mm) Tagged,SL (mm) Recap1,SL (mm) Recap2,SL (mm) Recap3,TL (in) Recap1,TL (in) Recap2,"If recapture, released/kept? Recap1","If recapture, released/kept? Recap2","If recapture, released/kept? Recap3","If recapture, released/kept? Recap4"
1304,1303,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,275,,,,,,,,,
1309,1308,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,224,,,,,,,,,
1312,1311,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,213,,,,,,,,,
1314,1313,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,235,,,,,,,,,
1324,1323,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,324,,,,,,,,,
1327,1326,10/30/2012,6/18/2013,,,,,,2,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,237,,,,,,released without tag,,,
1329,1328,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,260,,,,,,,,,
1333,1332,10/30/2012,11/2/2012,7/10/2013,,3,253,,2,2,,La Jolla,La Jolla,La Jolla,,,Outside,Outside,Outside,,,,kelp bass,257,257,,,,,"released, tag left in place","released, tag left in place",,
1337,1336,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,263,,,,,,,,,
1340,1339,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,260,,,,,,,,,
1342,1341,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,235,,,,,,,,,
1345,1344,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,263,,,,,,,,,
1349,1348,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,286,,,,,,,,,
1403,1404,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,283,,,,,,,,,
1408,1409,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,252,,,,,,,,,
1411,1412,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,barred sand bass,251,,,,,,,,,
1413,1414,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,248,,,,,,,,,
1416,1417,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,255,,,,,,,,,
1419,1420,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,barred sand bass,310,,,,,,,,,
1422,1423,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,283,,,,,,,,,
1431,1432,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,297,,,,,,,,,
1434,1435,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,248,,,,,,,,,
1437,1438,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,260,,,,,,,,,
1440,1441,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,270,,,,,,,,,
1443,1444,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,238,,,,,,,,,
1445,1446,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,240,,,,,,,,,
1447,1448,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,347,,,,,,,,,
1449,1450,11/27/2012,,,,,,,,,,La Jolla South,,,,,Inside,,,,,,kelp bass,377,,,,,,,,,
1453,1452,10/24/2012,9/17/2014,,,,,693,1,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,322,338,,,,,"released, tag left in place",,,
1455,1454,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,262,,,,,,,,,
1457,1456,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,353,,,,,,,,,
1459,1458,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,220,,,,,,,,,
1461,1460,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,329,,,,,,,,,
1464,1463,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,310,,,,,,,,,
1466,1465,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,231,,,,,,,,,
1468,1467,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,340,,,,,,,,,
1470,1469,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,234,,,,,,,,,
1473,1472,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,232,,,,,,,,,
1475,1474,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,250,,,,,,,,,
1476,1477,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,269,,,,,,,,,
